ontology_filename,search_query,results_returned,avg_title_keyword_overlap,avg_abstract_keyword_overlap,max_title_overlap,doi_direct_hit,avg_citation_count,median_year,cs_engineering_ratio,open_access_ratio
s4watr,"""SAREF4WATR: an extension of SAREF for the water domain"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
s4wear,"""SAREF4WEAR: an extension of SAREF for the Wearables domain"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
sbeo,"""SBEO: Smart Building Evacuation Ontology"" ontology",1,1.0,0.0485,1.0,False,9,2022,0.0,1.0
sbim,"""SemanticBIM Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
sbonto,"""Ontology of smart building"" ontology",1,0.3333,0.093,0.3333,True,2,2018,0.0,0.0
sd,"""Sensor Data ontology"" ontology",3,0.1375,0.0374,0.2308,False,22.3,2010,0.0,0.0
seas,"""SEAS Ontology"" ontology",1,0.1333,0.0156,0.1333,False,30,2017,0.0,0.0
sero,"""Steel Element Reuse Ontology"" ontology",3,0.2841,0.0254,0.3636,False,3,2025,0.3333,1.0
sml,"""EN 17632-1:2022 / EN 17632-2:2024 - BIM Semantic modelling and linking (SML) - Normative classes and properties (RDFS, OWL, and SHACL)"" ontology",1,0.1364,0.0,0.1364,False,2,2023,0.0,1.0
sosa,"""Sensor, Observation, Sample, and Actuator (SOSA) Ontology"" ontology",5,0.1064,0.0556,0.2143,False,149.4,2020,0.0,0.8
ssn,"""Semantic Sensor Network Ontology"" ontology",9,0.263,0.0481,0.5,False,221.6,2012,0.0,0.4444
stg,"""STG: Scan-to-Graph"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
tempo,"""Data Template Ontology (TempO)"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
th-actor,"""Users and Preference Information"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
th-building,"""Architecture and Building Physics Information Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
th-energy,"""Energy and Resource Information"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
th-process,"""User Behavior and Building Process Information"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
th-sharedvoc,"""Buildling Ontology Shared Vocabulary"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
th-weather,"""Weather and Exterior Influence Information"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
uno,"""User Navigation Ontology"" ontology",1,0.1429,0.0291,0.1429,False,9,2022,0.0,1.0
unocs,"""Digital Construction Agents"" ontology",1,0.1111,0.0,0.1111,True,6,2025,0.0,0.0
upo,"""User Profile Ontology"" ontology",10,0.2646,0.0281,0.4286,True,37.8,2010,0.0,0.3
weat,"""BIMERR Weather Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
wgs84_pos,"""WGS84 Geo Positioning: an RDF vocabulary"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
xemo,"""Construction Site Emission Management Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
