filename,fields_total,fields_filled,completeness_pct,parse_success,parse_error,class_count,property_count,axiom_count,annotation_coverage_pct,comment_coverage_pct,import_count,language_count,has_title,has_namespace_uri,has_description,has_license,has_version,has_creators,data_property_count,object_property_count,annotation_score,foops_score,alignment_score,accessibility_score,quality_score,has_documentation,has_serialization,has_conceptual_model
opm,13,10,76.9,True,,12,10,0,94.7,0.0,7,0,True,True,True,True,True,True,4,6,94.7,0.19,1.0,3.0,1.9,True,True,True
ph,13,8,61.5,True,,0,0,0,0.0,0.0,0,0,True,True,True,True,True,False,0,0,0.0,0.04,0.0,2.0,1.0,True,False,True
process,13,10,76.9,True,,19,57,0,100.0,0.0,4,0,True,True,True,True,True,True,32,25,100.0,0.15,2.0,3.0,2.0,True,True,True
quality,13,10,76.9,True,,16,38,0,100.0,0.0,4,0,True,True,True,True,True,True,23,15,100.0,0.15,2.0,3.0,2.0,True,True,True
rdo,13,10,76.9,True,,38,42,0,79.4,0.0,8,0,True,True,True,True,True,True,31,11,79.4,0.79,2.0,2.0,0.8,False,True,False
rec,13,8,61.5,True,,0,0,0,0.0,0.0,5,0,True,False,True,True,True,False,0,0,0.0,0.0,3.0,2.0,1.0,True,True,True
reloc,13,10,76.9,True,,2,46,0,100.0,0.0,3,0,True,True,True,True,True,True,2,44,100.0,0.64,1.0,3.0,2.0,True,True,True
reno-inst,13,9,69.2,True,,122,43,0,0.0,0.0,1,0,True,False,True,True,True,True,13,30,0.0,0.0,1.0,2.0,0.0,False,True,True
renp,13,10,76.9,True,,11,43,0,46.2,0.0,4,0,True,True,True,True,True,True,31,12,46.2,0.15,2.0,3.0,1.5,True,True,True
resource,13,10,76.9,True,,9,10,0,100.0,0.0,5,0,True,True,True,True,True,True,8,2,100.0,0.15,2.0,3.0,2.0,True,True,True
safety,13,10,76.9,True,,14,11,0,100.0,0.0,5,0,True,True,True,True,True,True,4,7,100.0,0.15,2.0,3.0,2.0,True,True,True
sao,13,7,53.8,True,,0,0,0,0.0,0.0,0,0,True,True,True,True,False,False,0,0,0.0,0.2,0.0,2.0,1.0,True,False,True
