ontology_filename,search_query,source,paper_id,title,authors,year,venue,citation_count,abstract,doi,url,is_open_access,fields_of_study,relevance_score,match_type
saref.ttl,"""Smart Applications REFerence ontology"" ontology",openalex,https://openalex.org/W4416253138,SAREF4ECHONET: A SAREF Extension Ontology for ECHONET Device Objects,"Van Cu Pham, Yasuo Tan",2025,Journal of Information Processing,0,"This paper introduces the SAREF4ECHONET ontology, an extension of the Smart Applications REFerence ontology (SAREF) for the international standard IEC:62394, which defines the ECHONET Device Objects specification—a widely used standard for modeling smart home appliances in Japan. The proposed extension bridges the semantic gap between SAREF and ECHONET by providing a comprehensive ontology that aligns ECHONET-based devices, resources, and functionalities with SAREF's generic semantic framework. SAREF4ECHONET enhances the semantic interoperability of ECHONET-based appliances and paves the way for the automatic achievement of interoperability between ECHONET Lite and the ECHONET Lite Web API with other systems through semantic technologies.",10.2197/ipsjjip.33.913,https://openalex.org/W4416253138,True,"publication_type:article, Computer science, Interoperability, Ontology, Extension (predicate logic), Semantic interoperability",0.2497,exact_ontology
saref.ttl,"""https://saref.etsi.org/core""",openalex,https://openalex.org/W3092751640,SAREF4INMA: A SAREF extension for the industry and manufacturing domain,"Mike de Roode, Alba Fernández-Izquierdo, Laura Daniele, María Poveda‐Villalón, Raúl García‐Castro",2020,Semantic Web,19,"The IoT landscape is characterized by a fragmentation of standards, platforms and technologies, often scattered among different vertical domains. To prevent the market to continue to be fragmented and power-less, a protocol-independent semantic layer can serve as enabler of interoperability among the various smart devices from different manufacturers that co-exist in a specific industry domain, but also across different domains. To that end, the SAREF ontology was created in 2015 with the intention to interconnect data, enabling the communication between IoT devices that use different protocols and standards. A number of industrial sectors consequently expressed their interest to extend SAREF into their domains in order to fill the gaps of the semantics not yet covered by their communication protocols. Therefore, the SAREF4INMA ontology was recently created to extend SAREF for describing the Smart Industry &amp; Manufacturing domain. SAREF4INMA is based on several standards and IoT initiatives, as well as on real use cases, and includes classes, properties and instances specifically created to cover the industry and manufacturing domain. This work describes the approach followed to develop this ontology, specifies its requirements and also includes a practical example of how to use it.",10.3233/sw-200402,https://openalex.org/W3092751640,True,"publication_type:article, Interoperability, Ontology, Computer science, Enabling, Domain (mathematical analysis)",0.2274,exact_ontology
saref.ttl,"""SAREF: the Smart Applications REFerence ontology"" ontology",openalex,https://openalex.org/W4382310422,An ontology-based innovative energy modeling framework for scalable and adaptable building digital twins,"Jakob Bjørnskov, Muhyiddine Jradi",2023,Energy and Buildings,55,"Digitalization of buildings and the use of IoT sensing and metering devices are steadily increasing, offering new opportunities for more autonomous, efficient, and flexible buildings. As part of this transformation and inspired by the added value demonstrated in other domains, the concept of a building digital twin that can monitor, simulate, manage, and optimize building operation has received increased interest. To aid such digital twin implementations, accurate and adaptable simulation models are required, which can effectively integrate and utilize the available data. However, traditional building modeling and digital practices, such as Building Information Modeling and white-box modeling tools, are not easily compatible with these requirements. This work presents an innovative and flexible energy modeling framework based on the SAREF ontology. With a basis in the SAREF4BLDG extension for buildings and the defined classes, different models are presented for a selection of typical systems and devices such as spaces, space heaters, dampers, coils, etc. Using the generic semantics and relations of the SAREF4SYST extension, a method for linking and simulating component models is then presented. A proof-of-concept of the modeling framework is provided, showing its application and feasibility to provide a dynamic simulation of the different systems and devices included in a demonstration case. Finally, a future line of work is identified considering the implementation of the modeling framework in an actual building case study, including integration with actual sensing equipment to demonstrate different digital twin services such as performance monitoring, strategy planning, and operational optimization.",10.1016/j.enbuild.2023.113146,https://openalex.org/W4382310422,True,"publication_type:article, Scalability, Computer science, Systems engineering, Ontology, Implementation",0.1871,exact_ontology
saref4ener.ttl,"""energy flexibility"" ontology",openalex,https://openalex.org/W3182793133,Energy flexibility of residential buildings: A systematic review of characterization and quantification methods and applications,"Han Li, Zhe Wang, Tianzhen Hong, Mary Ann Piette",2021,Advances in Applied Energy,386,"With building electric demand becoming increasingly dynamic, and a growing percentage of intermittent renewable power generation from solar photovoltaics and wind turbines, the power grid is facing increasing challenge to manage the real time balance between the supply and demand. With advancements in smart sensing and metering, smart appliances, electric vehicles, and energy storage technologies, demand side management of residential buildings can help the grid to improve stability by optimizing flexible loads. This paper reviews recent studies on residential building demand side management, with a focus on characterization and quantification of energy flexibility covering various types of flexible loads, metrics, methods, and applications. The reviewed studies showed four levels of applications: building level (45%), district or community level (29%), system level (19%), and building sector level (7%). Shifting loads is the dominant flexibility type in 60% of applications, followed by shedding (19%), generation (16%), and modulating (6%). Depending on the technology and application scope, flexible operations have a wide range of performance, with peak power reductions of 1%~65%, energy savings up to 60%, operational cost reduction of 1%~48%, and greenhouse gas emission reductions of up to29%. More than half (51%) of the studies employed control strategies to achieve flexibility; among those 72% used optimal controls, while 28% used rule-based controls. About 58% of the studies used mathematical formulation to quantify energy flexibility. Most studies were based on simulation, while less than 15% of the studies had measurements from experiments or field tests. The review reveals research opportunities to address significant gaps in the existing literature: (1) establishing a common definition and performance metrics for energy flexibility of buildings that are technology and application agnostic, (2) developing an ontology to standardize representation of flexibility resources for interoperability, (3) integrating occupant impacts into the quantification and optimization of energy flexibility, and (4) developing requirements and credits of energy flexibility in building energy codes and standards. Findings from the review can inform future research and development of energy flexible buildings which are essential to a reliable and resilient power grid.",10.1016/j.adapen.2021.100054,https://openalex.org/W3182793133,True,"publication_type:review, Flexibility (engineering), Smart grid, Renewable energy, Demand response, Peak demand",0.2562,reuse_application
saref4inma.ttl,"""s4inma"" ontology",openalex,https://openalex.org/W3092751640,SAREF4INMA: A SAREF extension for the industry and manufacturing domain,"Mike de Roode, Alba Fernández-Izquierdo, Laura Daniele, María Poveda‐Villalón, Raúl García‐Castro",2020,Semantic Web,19,"The IoT landscape is characterized by a fragmentation of standards, platforms and technologies, often scattered among different vertical domains. To prevent the market to continue to be fragmented and power-less, a protocol-independent semantic layer can serve as enabler of interoperability among the various smart devices from different manufacturers that co-exist in a specific industry domain, but also across different domains. To that end, the SAREF ontology was created in 2015 with the intention to interconnect data, enabling the communication between IoT devices that use different protocols and standards. A number of industrial sectors consequently expressed their interest to extend SAREF into their domains in order to fill the gaps of the semantics not yet covered by their communication protocols. Therefore, the SAREF4INMA ontology was recently created to extend SAREF for describing the Smart Industry &amp; Manufacturing domain. SAREF4INMA is based on several standards and IoT initiatives, as well as on real use cases, and includes classes, properties and instances specifically created to cover the industry and manufacturing domain. This work describes the approach followed to develop this ontology, specifies its requirements and also includes a practical example of how to use it.",10.3233/sw-200402,https://openalex.org/W3092751640,True,"publication_type:article, Interoperability, Ontology, Computer science, Enabling, Domain (mathematical analysis)",0.4626,exact_ontology
sbeo.ttl,"""SBEO: Smart Building Evacuation Ontology"" ontology",openalex,https://openalex.org/W4296879500,SBEO: Smart Building Evacuation Ontology,"Qasim Khalid, Alberto Fernández, Marin Lujak, Arnaud Doniec",2022,Computer Science and Information Systems,9,"Semantically rich depiction of the concepts for context-aware indoor routing brings appealing benefits for the safety of occupants of smart spaces in emergency evacuation. In this paper, we propose Smart Building Evacuation Ontology (SBEO3), a reusable ontology for indoor spaces, based on three different data models: user, building, and context. We provide a common representation of indoor routing and navigation, describe users? characteristics and preferences, grouping of individuals and their role in a specific context, hazards, and emergency evacuation. Among other characteristics, we consider abilities of individuals, safety and accessibility of spaces related to each person, intensity, impact, and severity of an emergency event or activity. SBEO is flexible and compatible with other ontologies of its domain, including SEAS, SSN/SOSA, SEMA4A, and empathi. We evaluate SBEO based on several metrics demonstrating that it addresses the information needs for the context-aware route recommendation system for emergency evacuation in indoor spaces. In the end, a simulation-based application example exploits SBEO using Context-Aware Emergency Evacuation Software (CAREE)4.",10.2298/csis220118046k,https://openalex.org/W4296879500,True,"publication_type:article, Ontology, Computer science, Context (archaeology), Domain (mathematical analysis), Exploit",0.6146,exact_ontology
sd.ttl,"""Sensor Data ontology"" ontology",openalex,https://openalex.org/W2167403742,Sense and Sens'ability: Semantic Data Modelling for Sensor Networks,"Payam Barnaghi, Stefan Meißner, Mirko Presser, Klaus Moessner",2009,,58,"Abstract: Sensor networks are used in various applications in several domains for measuring and determining physical phenomena and natural events. Sensors enable machines to capture and observe characteristics of physical objects and features of natural incidents. Sensor networks generate immense amount of data which requires advanced analytical processing and interpretation by machines. Most of the current efforts on sensor networks are focused on networking and service development for various applications, but less on processing the emerging data. Sensor data in a real world application will be an integration of various data obtained from different sensors such as temperature, pressure, and humidity. Processing and interpretation of huge amounts of heterogeneous sensor data and utilising a coherent structure for this data is an important aspect of a scalable and interoperable sensor network architecture. This paper describes a semantic model for heterogeneous sensor data representation. We use common standards and logical description frameworks proposed by the semantic Web community to create a sensor data description model. The work describes a sensor data ontology which is created according to the Sensor Web Enablement (SWE) and SensorML data component models. We describe how the semantic relationship and operational constraints are deployed in a uniform structure to describe the heterogeneous sensor data.",,https://openalex.org/W2167403742,False,"publication_type:article, Sensor web, Computer science, Wireless sensor network, Visual sensor network, Interoperability",0.2806,exact_ontology
sd.ttl,"""Sensor Data ontology"" ontology",openalex,https://openalex.org/W2145385056,Embedding Semantic Product Memories in the web of things,"Christian Seitz, Christoph Legat, Jörg Neidig",2010,,8,"Today, RFID is used to identify a wide range of work pieces or individual products for tracking their movements through the logistics chain. For future purposes the idea of storing only a single ID must be extended to a Product Memory. This memory stores data of the complete product life cycle. This paper introduces an architecture and an implementation for integrating data in product memories. Our contribution encompasses software modules for a uniform sensor access, a sensor data ontology and web interfaces for product memory applications.",10.1109/percomw.2010.5470525,https://openalex.org/W2145385056,False,"publication_type:article, Computer science, Embedding, Product (mathematics), Semantic Web, Ontology",0.2145,exact_ontology
sd.ttl,"""Sensor Data ontology"" ontology",openalex,https://openalex.org/W2154809721,Autonomous product memories for industrial applications,"Christian Seitz, Thomas A. Runkler, Jörg Neidig",2011,,2,"Today, RFID is used to identify a wide range of work pieces or individual products for tracking their movements through the logistics chain. For future purposes there is a strong demand to make products more intelligent by extending the limited RFID identification technology. We propose in this paper an Autonomous Product Memory. This autonomous object requests, analyzes, evaluates, and stores data of the complete product life cycle and is also able to control parts of it. We introduce an architecture for integrating data in product memories and controlling parts of the surrounding infrastructure. Our contribution encompasses software modules for a uniform sensor access, a sensor data ontology, and an infrastructure for product memory applications. We additionally present a first prototype of our concepts, in which the autonomous object collects data in a factory automation scenario and is able to influence the production process.",10.1109/indin.2011.6034858,https://openalex.org/W2154809721,False,"publication_type:article, Computer science, Product (mathematics), Product lifecycle, Automation, Factory (object-oriented programming)",0.17,exact_ontology
seas.ttl,"""https://w3id.org/seas""",openalex,https://openalex.org/W4296879500,SBEO: Smart Building Evacuation Ontology,"Qasim Khalid, Alberto Fernández, Marin Lujak, Arnaud Doniec",2022,Computer Science and Information Systems,9,"Semantically rich depiction of the concepts for context-aware indoor routing brings appealing benefits for the safety of occupants of smart spaces in emergency evacuation. In this paper, we propose Smart Building Evacuation Ontology (SBEO3), a reusable ontology for indoor spaces, based on three different data models: user, building, and context. We provide a common representation of indoor routing and navigation, describe users? characteristics and preferences, grouping of individuals and their role in a specific context, hazards, and emergency evacuation. Among other characteristics, we consider abilities of individuals, safety and accessibility of spaces related to each person, intensity, impact, and severity of an emergency event or activity. SBEO is flexible and compatible with other ontologies of its domain, including SEAS, SSN/SOSA, SEMA4A, and empathi. We evaluate SBEO based on several metrics demonstrating that it addresses the information needs for the context-aware route recommendation system for emergency evacuation in indoor spaces. In the end, a simulation-based application example exploits SBEO using Context-Aware Emergency Evacuation Software (CAREE)4.",10.2298/csis220118046k,https://openalex.org/W4296879500,True,"publication_type:article, Ontology, Computer science, Context (archaeology), Domain (mathematical analysis), Exploit",0.2725,exact_ontology
seas.ttl,"""SEAS Ontology"" ontology",openalex,https://openalex.org/W2768658028,Planned ETSI SAREF Extensions based on the W3C&OGC SOSA/SSN-compatible SEAS Ontology Paaerns,Maxime Lefrançois,2017,,30,"Mid-June 2017, the ETSI SmartM2M working group voted two work items, DTS/SmartM2M-103548 and DTS/SmartM2M-103549, with the goal to enhance and augment the SAREF ontology with some of the design, development, and publication choices that have been made in the context of the ITEA2 SEAS (Smart Energy Aware Systems) project. This paper provides an overview of these choices and their rationale. In particular, we describe contributions regarding: (i) the design of the ontology as a set of simple core ontology patterns , that can then be instantiated for multiple engineering-related verticals; (ii) the design and publication of the SEAS modular and versioned ontology in conformance with the publication and meta-data best practices, with the additional constraint that every term is deened under a single namespace. These planned additions to SAREF will ease its adoption and extension by industrial stake-holder, while ensuring easy maintenance of its quality, coherence, and modularity. Finally, because the SEAS ontology generalizes the future W3C&OGC SOSA/SSN (Sensor, Observation, Sensing, Actuation / Semantic Sensor Network) ontology, these work items contribute to the convergence of the diierent reference ontologies relevant for the IoT domain.",,https://openalex.org/W2768658028,False,"publication_type:article, Ontology, Computer science, Context (archaeology), Information retrieval, Ontology engineering",0.258,exact_ontology
sosa.ttl,"""sosa"" ontology",openalex,https://openalex.org/W4206995392,"SOSA-SHACL: Shapes Constraint for the Sensor, Observation, Sample, and Actuator Ontology","Rui Zhu, Cogan Shimizu, Shirly Stephen, Lu Zhou, Ling Cai, Gengchen Mai, Krzysztof Janowicz, Mark Schildhauer, Pascal Hitzler",2021,,2,"The explosive growth of the Linked Data on the Web has greatly facilitated collecting data from remote sensors, from air quality sensors spread out across a city, to seismograph stations spread across the entire world. Integrating these heterogeneous data can be quite challenging; however one can achieve this through the use of available W3C standards to create a knowledge graph. For this use case, the W3C also provides a standard, the Sensor, Observation, Sample, Actuator (SOSA) Ontology, that allows for the semantic encoding of sensors and their observations. However, even with the guidance of this standard, it may be difficult to produce a correct graph with high fidelity from heterogeneous sources. In this paper we present a set of (data) shape constraints, called SOSA-SHACL, for the SOSA ontology using a data validation language, namely the W3C standard SHACL (Shape Constraint Language). These constraints enable us to evaluate whether the modeled observations in our Knowledge Graph comply with the SOSA recommendations. Furthermore, we show through several case studies how the closed world assumption plays a role in the process of designing such shape constraints, especially as SOSA is based on the open world assumption.",10.1145/3502223.3502235,https://openalex.org/W4206995392,True,"publication_type:article, Computer science, Ontology, Constraint (computer-aided design), Fidelity, Graph",0.4518,exact_ontology
sosa.ttl,"""sosa"" ontology",openalex,https://openalex.org/W3023730298,Weather data publication on the LOD using SOSA/SSN ontology,"Catherine Roussey, Stéphan Bernard, Géraldine Andre, D. Boffety",2020,Semantic Web,19,"This paper presents an RDF dataset of meteorological measurements. The measurements come from one weather station at the Irstea experimental farm located in Montoldre. The measurements have been made from August 2018 until now. They have been transformed and published as Linked Open Data (LOD). The data schema is based on the new version of the Semantic Sensor Network ontology. This ontology version integrates the Sensor, Observation, Sample, and Actuator pattern. We first present the network of ontologies used to organize the data. Then, the transformation process for publishing the dataset is detailed. To conclude we present some use cases of queries related to Irstea research projects.",10.3233/sw-200375,https://openalex.org/W3023730298,False,"publication_type:article, RDF, Ontology, Computer science, Linked data, Schema (genetic algorithms)",0.2773,exact_ontology
