ontology_filename,search_query,results_returned,avg_title_keyword_overlap,avg_abstract_keyword_overlap,max_title_overlap,doi_direct_hit,avg_citation_count,median_year,cs_engineering_ratio,open_access_ratio
esair.ttl,"""Este vocabulario extiende la W3C Semantic Sensor Network Ontology"" built environment",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
facility.ttl,"""facility management"" ontology building",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
ffdr.ttl,"""Firefighters' Data Requirements Ontology"" ontology",2,0.1762,0.0483,0.2857,False,0,2022,0.0,1.0
fm-ener.ttl,"""This is a Facility Management Building Energy Ontology"" facility building",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
fmo.ttl,"""Failure Mechanism Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
fog.ttl,"""FOG: File Ontology for Geometry formats"" ontology",2,0.0992,0.0672,0.1429,False,16.5,2019,0.0,1.0
fso.ttl,"""The Flow Systems Ontology (FSO)"" ontology",3,0.1414,0.0453,0.2353,False,19.7,2022,0.0,1.0
geosparql.ttl,"""GeoSPARQL Ontology"" ontology",6,0.0542,0.0183,0.2222,False,8,2021,0.0,0.8333
gis4reno.ttl,"""http://www.semanticweb.org/ecdf_md/ontologies/2020/4/untitled-ontology-45""",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
hbpo.ttl,"""http://www.semanticweb.org/HBPO""",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
hmo.ttl,"""Historic Masonry Ontology"" ontology",2,0.0526,0.0217,0.0526,False,1,2024,0.5,1.0
icdd2ams.ttl,"""Asset Condition Integration from ICDD to AMS (icdd2ams)"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
idpo.ttl,"""Information Delivery Processes Ontology (IDPO)"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
ifc4-add2.ttl,"""IFC4_ADD2_TC1"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
into.ttl,"""Infrastructure Topology Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
io.ttl,"""Information Objects Ontology"" bimerr",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
ioc.ttl,"""IOC: Internet of Construction Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
iot.ttl,"""COGITO IoT ontology"" construction",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
isoprops.ttl,"""ISO 23386 Property Ontology (ISOProps)"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
