filename,title,prefix,namespace_uri,description,version,license,creators,date_modified,date_issued,see_also,imports,classes,properties,search_keywords
aec3po.ttl,AEC3PO,aec3po,https://w3id.org/lbd/aec3po/,"The Architecture, Engineering and Construction Compliance Checking and Permitting ontology (AEC3PO), based on the statements on building compliance-related document and design codes.",,,"Edlira Vakaj, Panagiotis Patlakas",2025-04-22,,,"https://w3id.org/lbd/aec3po/check_method, https://w3id.org/lbd/aec3po/checking_act, https://w3id.org/lbd/aec3po/compliance_verification_report, https://w3id.org/lbd/aec3po/data_requirement, https://w3id.org/lbd/aec3po/design, https://w3id.org/lbd/aec3po/document, https://w3id.org/lbd/aec3po/evidence, https://w3id.org/lbd/aec3po/feature_of_interest, https://w3id.org/lbd/aec3po/legal_verifier, https://w3id.org/lbd/aec3po/model, https://w3id.org/lbd/aec3po/rase_statement, https://w3id.org/lbd/aec3po/statement, https://w3id.org/lbd/aec3po/table",,"asText, hasValue",AEC3PO
aic.ttl,Agents in Construction (AiC) Ontology,,https://w3id.org/aic,,,https://creativecommons.org/licenses/by/4.0/,"Irfan Čustović, Jianpeng Cao, Ranjith Soman",2025-11-25,,,,"Activity, AgentCapability, ConstructionAgent, ConsumableMaterial, Creator, Element, Equipment, Indicator, InformationDimension, InformationID, Material, ModeMetric, ModeSet, OperationMode, Process, ProcessMetric, ProcessState, Resource, ResourceQuantity, ResourceType, ReusabeMaterial, Statement, Task, WorkPackage, Zone","belongsTo, consumes, containsActivity, containsTask, correspondsTo, focusesOnElement, focusesOnProcess, generatedBy, generatedOn, hasCapability, hasElement, hasInformationDimension, hasModeMetric, hasPredecessor, hasProcessMetric, hasQuantity, hasResourceType, hasSuccessor, hasUnit, hasValue, isAssignedTo, isDescribedBy, isInOperationMode, isInProcessState, isLocatedIn, isOperatingIn, object, predicate, reifiesStatement, releasesReusableMaterial, requestsResource, requestsZone, requiresCapability, requiresResource, subject, supplies, targets, uses, validAt, validFrom, validUntil",Agents in Construction (AiC) Ontology
ao.ttl,Annotations Ontology,ao,http://bimerr.iot.linkeddata.es/def/annotation-objects#,"The Annotation Objects ontology aims to model the annotations and comments made during a renovation project with respect to specific building elements, spaces, etc.",0.0.2,,"María Poveda-Villalón, Serge Chávez-Feria",,,,,"Comment, Element, InformationObject, Project, Space, Topic","assignedTo, comment, creationAuthor, creationDate, description, dueDate, hasComment, hasTopic, identifier, ifcIdentifier, label, location, modifiedAuthor, modifiedDate, priority, relatedAudioFile, relatedComponent, relatedDocumentation, relatedIFCFile, relatedImageFile, relatedSpace, relatedVideoFile, stage, taskId, title, topicStatus, topicType, xCoordinate, yCoordinate, zCoordinate",Annotations Ontology | ao ontology
aoi.ttl,Areas of Interests,aoi,https://w3id.org/aoi#,Auxiliary ontology that defines areas of interests on a component which can be affected by damages(defined in DOT),,https://creativecommons.org/licenses/by/1.0,,,,,,"AreaOfInterest, Bottom, ComponentSide, Edge, ExteriorArea, HorizontalCentralArea, InternalArea, LowerArea, PeripheralArea, Periphery, Surface, Top, UpperArea, VerticalCentralArea","hasAreaOfInterest, hasSide, locates, locatesDamage",Areas of Interests | aoi ontology
