ontology_filename,search_query,results_returned,avg_title_keyword_overlap,avg_abstract_keyword_overlap,max_title_overlap,doi_direct_hit,avg_citation_count,median_year,cs_engineering_ratio,open_access_ratio
ioc.ttl,IOC: Internet of Construction Ontology,6,0.0323,0.0156,0.0714,False,106.5,2020,0.0,1.0
iot.ttl,IoT ontology,10,0.1741,0.0157,0.2222,False,31.9,2021,0.4,0.8
isoprops.ttl,ISO 23386 Property Ontology (ISOProps) built environment,1,0.0,0.0128,0.0,False,0,2025,0.0,1.0
kpi.ttl,Key Performance Indicator ontology built environment,10,0.1594,0.0296,0.3125,False,113.6,2024,0.0,0.4
lca-c-reno.ttl,The LCA-C ontology was developed to represent concepts related to the LCA/C assessments to support built environment,8,0.0261,0.0303,0.1053,False,394.1,2015,0.25,1.0
loin.ttl,Level of Information Need (LOIN) Ontology built environment,10,0.0886,0.0339,0.1765,False,27.9,2022,0.4,0.8
mat.ttl,Material properties ontology,7,0.0547,0.0194,0.125,False,398.6,2010,0.1429,0.4286
mdo.ttl,Materials Design Ontology - Core Module,1,0.0,0.0071,0.0,False,4611,2008,0.0,1.0
mep.ttl,Distribution Element Ontology built environment,10,0.0863,0.016,0.2308,False,1484.5,2022,0.0,0.7
nen2660.ttl,nen2660 ontology built environment,1,0.0,0.0,0.0,False,5,2023,0.0,1.0
ocqa.ttl,Ontology for Construction Quality Assurence (OCQA),10,0.1685,0.0333,0.3636,False,60.4,2012,0.8,0.2
ofo.ttl,Occupant Feedback Ontology,9,0.0392,0.0178,0.2143,False,188.7,2018,0.3333,1.0
omg.ttl,OMG: Ontology for Managing Geometry built environment,8,0.0772,0.0132,0.2,False,271,2008,0.25,1.0
onem2m.ttl,This file contains the Base Ontology of oneM2M as specified in TS-0012 built environment,6,0.0424,0.0431,0.1,False,43,2020,0.0,1.0
op.ttl,Occupancy Profile ontology,1,0.0476,0.015,0.0476,False,92,2011,0.0,1.0
opm.ttl,OPM: Ontology for Property Management built environment,8,0.0255,0.0106,0.0625,False,152.4,2020,0.0,1.0
ph.ttl,ph ontology built environment,2,0.0,0.0033,0.0,False,2737.5,2013,0.0,1.0
process.ttl,Process Ontology built environment,10,0.0826,0.0259,0.1667,False,65,2019,0.3,0.6
quality.ttl,Quality Ontology built environment,6,0.037,0.0126,0.1111,False,4172.8,2016,0.0,0.8333
rdo.ttl,Roof Damage Ontology,6,0.0,0.0042,0.0,False,328.7,2016,0.0,1.0
reloc.ttl,Relative Location Ontology built environment,2,0.0,0.0185,0.0,False,4110,2014,0.0,1.0
reno-inst.ttl,The Reno-Inst ontology was developed to represent concepts related to the installation of built environment,10,0.0386,0.0346,0.0909,False,18.2,2023,0.4,1.0
renp.ttl,Renovation Processes and Work Orders Ontology,10,0.0606,0.0267,0.1429,False,60.5,2021,0.3,0.6
resource.ttl,Resource ontology built environment,7,0.0665,0.0129,0.1667,False,5503,2019,0.0,1.0
safety.ttl,Safety Ontology,10,0.1969,0.0185,0.4,False,83,2021,0.2,0.3
sao.ttl,,0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
saref.ttl,SAREF: the Smart Applications REFerence ontology built environment,10,0.0509,0.0279,0.1429,False,156.6,2020,0.0,1.0
saref4agri.ttl,SAREF4AGRI: an extension of SAREF for the agriculture and food domain ontology built environment,5,0.056,0.0514,0.1304,False,2.4,2024,0.2,1.0
saref4auto.ttl,SAREF4AUTO: an extension of SAREF for the automotive domain ontology built environment,3,0.1102,0.061,0.2353,False,7.7,2024,0.0,1.0
saref4bldg.ttl,SAREF4BLDG: an extension of SAREF for the building domain ontology,10,0.1492,0.0402,0.3333,False,54,2020,0.0,1.0
saref4city.ttl,SAREF4CITY: an extension of SAREF for the Smart City domain ontology,10,0.1334,0.0374,0.3125,False,12.7,2023,0.0,1.0
saref4ehaw.ttl,SAREF4EHAW: an extension of SAREF for eHealth Ageing Well domain ontology built environment,7,0.0471,0.0297,0.125,False,5.1,2024,0.0,1.0
saref4ener.ttl,SAREF for Energy Flexibility ontology,10,0.0982,0.0228,0.1875,False,170,2019,0.1,0.7
saref4envi.ttl,SAREF4ENVI: an extension of SAREF for the Environment domain ontology built environment,7,0.1178,0.0504,0.25,False,6,2023,0.0,1.0
saref4grid.ttl,SAREF4GRID: an extension of SAREF for the Smart Grid domain ontology,5,0.0296,0.0317,0.0556,False,5.6,2024,0.0,1.0
saref4inma.ttl,SAREF4INMA: an extension of SAREF for the industry and manufacturing domain ontology built environment,10,0.1916,0.0669,0.6,False,11.1,2022,0.0,1.0
saref4lift.ttl,SAREF4WEAR: an extension of SAREF for the Smart Lifts domain ontology built environment,2,0.0714,0.0353,0.0952,False,2,2021,0.0,1.0
saref4syst.ttl,SAREF4SYST: an extension of SAREF for typology of systems and their inter-connections ontology built environment,2,0.0563,0.0311,0.0741,False,61,2020,0.0,1.0
saref4watr.ttl,SAREF4WATR: an extension of SAREF for the water domain ontology,7,0.1338,0.0458,0.2667,False,6.1,2023,0.0,1.0
saref4wear.ttl,SAREF4WEAR: an extension of SAREF for the Wearables domain ontology built environment,9,0.0504,0.0387,0.1,False,7.4,2023,0.0,1.0
sbeo.ttl,SBEO: Smart Building Evacuation Ontology,3,0.4238,0.0297,1.0,False,6.7,2022,0.0,1.0
sd.ttl,Sensor Data ontology,10,0.3051,0.0287,0.4286,False,28.6,2019,0.4,0.6
seas.ttl,SEAS Ontology built environment,4,0.0371,0.0108,0.0769,False,786.2,2013,0.0,1.0
sml.ttl,sml ontology built environment,10,0.1489,0.0189,0.2143,False,5.1,2024,0.3,0.4
sosa.ttl,"Sensor, Observation, Sample, and Actuator (SOSA) Ontology",10,0.1455,0.0569,0.5833,False,81.1,2020,0.5,0.8
ssn.ttl,Semantic Sensor Network Ontology,10,0.5638,0.0466,1.0,False,197.5,2019,0.4,0.5
stg.ttl,STG: Scan-to-Graph ontology built environment,3,0.0965,0.0164,0.2308,False,111.7,2020,0.3333,1.0
tempo.ttl,Data Template Ontology (TempO) built environment,10,0.13,0.0215,0.2222,False,10.3,2023,0.3,0.5
th-actor.ttl,1 ontology built environment,10,0.0925,0.0184,0.125,False,57.9,2024,0.2,0.8
th-building.ttl,,0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
th-energy.ttl,Home automation conceptualization is based on DogOnt 1 ontology built environment,10,0.029,0.024,0.1111,False,51.8,2018,0.0,1.0
th-process.ttl,"an ontology to represent applications, processes, profiles and patterns for smart home operation",8,0.0572,0.0408,0.1111,False,2340.9,2016,0.0,1.0
th-sharedvoc.ttl,simple shared vocabulary for Building Information Models ontology,4,0.0425,0.012,0.0667,False,3548,2014,0.0,0.75
th-weather.ttl,smart home ontology for weather phenomena and exterior conditions,7,0.0532,0.0158,0.087,False,49.1,2020,0.0,1.0
unocs.ttl,Digital Construction Agents ontology,10,0.1477,0.0287,0.3333,False,41.9,2020,0.4,0.5
weat.ttl,BIMERR Weather Ontology,7,0.0119,0.0015,0.0833,False,9.6,2023,0.0,1.0
wgs84.ttl,wgs84 ontology built environment,8,0.0063,0.0064,0.05,False,136.5,2019,0.0,1.0
